personId,roadUser,gender,age,ageGroup,crashId
3407,Pedestrian,Female,82,75_or_older,20215153
3408,Driver,Male,73,65_to_74,20214078
3409,Driver,Female,25,17_to_25,20216024
3410,Passenger,Male,36,26_to_39,20216024
3411,Driver,Male,59,40_to_64,20213073
3412,Motorcycle rider,Male,19,17_to_25,20211148
3413,Motorcycle rider,Male,17,17_to_25,20213103
3414,Passenger,Female,68,65_to_74,20212180
3415,Driver,Male,22,17_to_25,20216028
3416,Driver,Male,18,17_to_25,20215139
3417,Driver,Female,31,26_to_39,20213231
3418,Passenger,Male,35,26_to_39,20213237
3419,Motorcycle rider,Male,40,40_to_64,20211260
3420,Pedestrian,Male,37,26_to_39,20217015
3421,Pedestrian,Male,53,40_to_64,20211049
3422,Driver,Male,34,26_to_39,20215082
3423,Passenger,Female,51,40_to_64,20214012
3424,Driver,Male,73,65_to_74,20215131
3425,Pedestrian,Female,78,75_or_older,20212050
3426,Driver,Female,39,26_to_39,20213238
3427,Passenger,Male,67,65_to_74,20212079
3428,Driver,Male,33,26_to_39,20214016
3429,Motorcycle rider,Male,27,26_to_39,20211026
3430,Driver,Male,28,26_to_39,20215005
3431,Driver,Male,52,40_to_64,20212096
3432,Motorcycle rider,Male,17,17_to_25,20213078
3433,Passenger,Female,28,26_to_39,20213004
3434,Pedestrian,Male,24,17_to_25,20213097
3435,Driver,Male,18,17_to_25,20212189
3436,Passenger,Male,18,17_to_25,20212189
3437,Driver,Male,19,17_to_25,20211050
3438,Driver,Male,27,26_to_39,20212052
3439,Passenger,Female,30,26_to_39,20217024
3440,Driver,Female,60,40_to_64,20213039
3441,Motorcycle rider,Male,55,40_to_64,20213107
3442,Passenger,Female,46,40_to_64,20216006
3443,Driver,Male,46,40_to_64,20216006
3444,Driver,Male,34,26_to_39,20215046
3445,Pedestrian,Male,52,40_to_64,20211068
3446,Motorcycle rider,Male,26,26_to_39,20212147
3447,Driver,Male,36,26_to_39,20217016
3448,Passenger,Female,35,26_to_39,20213080
3449,Passenger,Male,7,0_to_16,20213080
3450,Passenger,Female,5,0_to_16,20213080
3451,Driver,Male,27,26_to_39,20215143
3452,Driver,Male,63,40_to_64,20212149
3453,Passenger,Female,29,26_to_39,20213035
3454,Passenger,Female,12,0_to_16,20213035
3455,Driver,Female,55,40_to_64,20211239
3456,Driver,Male,40,40_to_64,20211064
3457,Driver,Male,49,40_to_64,20217031
3458,Passenger,Male,9,0_to_16,20214025
3459,Motorcycle rider,Male,45,40_to_64,20212158
3460,Passenger,Male,33,26_to_39,20216019
3461,Motorcycle rider,Male,27,26_to_39,20211241
3462,Pedestrian,Male,51,40_to_64,20211221
3463,Driver,Male,57,40_to_64,20212002
3464,Driver,Female,19,17_to_25,20213029
3465,Driver,Male,44,40_to_64,20211120
3466,Pedal cyclist,Female,79,75_or_older,20212039
3467,Driver,Female,84,75_or_older,20212063
3468,Motorcycle rider,Male,31,26_to_39,20213005
3469,Motorcycle rider,Male,55,40_to_64,20211040
3470,Passenger,Male,17,17_to_25,20212148
3471,Passenger,Male,52,40_to_64,20215061
3472,Driver,Female,39,26_to_39,20213169
3473,Driver,Male,23,17_to_25,20213017
3474,Driver,Male,56,40_to_64,20213169
3475,Motorcycle rider,Male,66,65_to_74,20214014
3476,Pedestrian,Male,86,75_or_older,20215052
3477,Pedestrian,Female,64,40_to_64,20214021
3478,Pedestrian,Male,87,75_or_older,20211012
3479,Motorcycle rider,Male,59,40_to_64,20213182
3480,Pedestrian,Female,78,75_or_older,20211175
3481,Passenger,Female,61,40_to_64,20214024
3482,Driver,Male,40,40_to_64,20214024
3483,Driver,Male,33,26_to_39,20211196
3484,Pedestrian,Female,53,40_to_64,20217019
3485,Driver,Male,21,17_to_25,20213160
