locationId,state,nationalRemoteAreas,sa4Name,lgaName,nationalRoadType,crashId
20241257_NSW_Inner Regional Australia_Central West_Cabonne_Local Road,NSW,Inner Regional Australia,Central West,Cabonne,Local Road,20241257
20241128_NSW_Major Cities of Australia_Sydney - Blacktown_Blacktown_National or State Highway,NSW,Major Cities of Australia,Sydney - Blacktown,Blacktown,National or State Highway,20241128
20243089_QLD_Major Cities of Australia_Ipswich_Brisbane_Collector Road,QLD,Major Cities of Australia,Ipswich,Brisbane,Collector Road,20243089
20242181_VIC_Inner Regional Australia_Latrobe - Gippsland_Baw Baw_Local Road,VIC,Inner Regional Australia,Latrobe - Gippsland,Baw Baw,Local Road,20242181
20243082_QLD_Remote Australia_Mackay - Isaac - Whitsunday_Isaac_National or State Highway,QLD,Remote Australia,Mackay - Isaac - Whitsunday,Isaac,National or State Highway,20243082
20243150_QLD_Major Cities of Australia_Sunshine Coast_Sunshine Coast_National or State Highway,QLD,Major Cities of Australia,Sunshine Coast,Sunshine Coast,National or State Highway,20243150
20243170_QLD_Major Cities of Australia_Brisbane - South_Brisbane_Sub-arterial Road,QLD,Major Cities of Australia,Brisbane - South,Brisbane,Sub-arterial Road,20243170
20243239_QLD_Remote Australia_Darling Downs - Maranoa_Maranoa_National or State Highway,QLD,Remote Australia,Darling Downs - Maranoa,Maranoa,National or State Highway,20243239
20242040_VIC_Outer Regional Australia_Warrnambool and South West_Southern Grampians_National or State Highway,VIC,Outer Regional Australia,Warrnambool and South West,Southern Grampians,National or State Highway,20242040
20243084_QLD_Major Cities of Australia_Moreton Bay - North_Moreton Bay_Sub-arterial Road,QLD,Major Cities of Australia,Moreton Bay - North,Moreton Bay,Sub-arterial Road,20243084
20241030_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Cessnock_Arterial Road,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Cessnock,Arterial Road,20241030
20243127_QLD_Inner Regional Australia_Logan - Beaudesert_Scenic Rim_National or State Highway,QLD,Inner Regional Australia,Logan - Beaudesert,Scenic Rim,National or State Highway,20243127
20243003_QLD_Inner Regional Australia_Ipswich_Somerset_Local Road,QLD,Inner Regional Australia,Ipswich,Somerset,Local Road,20243003
20243266_QLD_Remote Australia_Townsville_Hinchinbrook_Access road,QLD,Remote Australia,Townsville,Hinchinbrook,Access road,20243266
20241042_NSW_Major Cities of Australia_Sydney - Outer West and Blue Mountains_Blue Mountains_National or State Highway,NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Blue Mountains,National or State Highway,20241042
20243121_QLD_Inner Regional Australia_Logan - Beaudesert_Scenic Rim_Sub-arterial Road,QLD,Inner Regional Australia,Logan - Beaudesert,Scenic Rim,Sub-arterial Road,20243121
20241175_NSW_Major Cities of Australia_Illawarra_Wollongong_Collector Road,NSW,Major Cities of Australia,Illawarra,Wollongong,Collector Road,20241175
20243072_QLD_Inner Regional Australia_Mackay - Isaac - Whitsunday_Mackay_Collector Road,QLD,Inner Regional Australia,Mackay - Isaac - Whitsunday,Mackay,Collector Road,20243072
20244057_SA_Major Cities of Australia_Adelaide - North_Playford_National or State Highway,SA,Major Cities of Australia,Adelaide - North,Playford,National or State Highway,20244057
20241091_NSW_Very Remote Australia_Far West and Orana_Cobar_National or State Highway,NSW,Very Remote Australia,Far West and Orana,Cobar,National or State Highway,20241091
20243201_QLD_Outer Regional Australia_Wide Bay_South Burnett_Local Road,QLD,Outer Regional Australia,Wide Bay,South Burnett,Local Road,20243201
20242135_VIC_Outer Regional Australia_North West_Ararat_National or State Highway,VIC,Outer Regional Australia,North West,Ararat,National or State Highway,20242135
20243225_QLD_Inner Regional Australia_Ipswich_Somerset_Sub-arterial Road,QLD,Inner Regional Australia,Ipswich,Somerset,Sub-arterial Road,20243225
20241167_NSW_Major Cities of Australia_Sydney - Outer South West_Campbelltown (NSW)_Collector Road,NSW,Major Cities of Australia,Sydney - Outer South West,Campbelltown (NSW),Collector Road,20241167
20244060_SA_Inner Regional Australia_Adelaide - Central and Hills_Adelaide Hills_Sub-arterial Road,SA,Inner Regional Australia,Adelaide - Central and Hills,Adelaide Hills,Sub-arterial Road,20244060
20241268_NSW_Outer Regional Australia_Capital Region_Bega Valley_National or State Highway,NSW,Outer Regional Australia,Capital Region,Bega Valley,National or State Highway,20241268
20244013_SA_Major Cities of Australia_Adelaide - North_Tea Tree Gully_Sub-arterial Road,SA,Major Cities of Australia,Adelaide - North,Tea Tree Gully,Sub-arterial Road,20244013
20243235_QLD_Major Cities of Australia_Moreton Bay - North_Moreton Bay_Local Road,QLD,Major Cities of Australia,Moreton Bay - North,Moreton Bay,Local Road,20243235
20244059_SA_Outer Regional Australia_South Australia - South East_Wattle Range_National or State Highway,SA,Outer Regional Australia,South Australia - South East,Wattle Range,National or State Highway,20244059
20241266_NSW_Inner Regional Australia_Illawarra_Kiama_Arterial Road,NSW,Inner Regional Australia,Illawarra,Kiama,Arterial Road,20241266
20243131_QLD_Major Cities of Australia_Moreton Bay - North_Moreton Bay_Sub-arterial Road,QLD,Major Cities of Australia,Moreton Bay - North,Moreton Bay,Sub-arterial Road,20243131
20242080_VIC_Outer Regional Australia_Warrnambool and South West_Moyne_Local Road,VIC,Outer Regional Australia,Warrnambool and South West,Moyne,Local Road,20242080
20241287_NSW_Inner Regional Australia_Sydney - Outer South West_Wollondilly_Arterial Road,NSW,Inner Regional Australia,Sydney - Outer South West,Wollondilly,Arterial Road,20241287
20241152_NSW_Inner Regional Australia_Mid North Coast_Mid-Coast_National or State Highway,NSW,Inner Regional Australia,Mid North Coast,Mid-Coast,National or State Highway,20241152
20243161_QLD_Inner Regional Australia_Ipswich_Scenic Rim_Sub-arterial Road,QLD,Inner Regional Australia,Ipswich,Scenic Rim,Sub-arterial Road,20243161
20242042_VIC_Major Cities of Australia_Melbourne - South East_Casey_Arterial Road,VIC,Major Cities of Australia,Melbourne - South East,Casey,Arterial Road,20242042
20243210_QLD_Outer Regional Australia_Central Queensland_Gladstone_Collector Road,QLD,Outer Regional Australia,Central Queensland,Gladstone,Collector Road,20243210
20244025_SA_Outer Regional Australia_Barossa - Yorke - Mid North_Northern Areas_Arterial Road,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Northern Areas,Arterial Road,20244025
20243088_QLD_Outer Regional Australia_Cairns_Tablelands_Sub-arterial Road,QLD,Outer Regional Australia,Cairns,Tablelands,Sub-arterial Road,20243088
20241211_NSW_Major Cities of Australia_Sydney - City and Inner South_Sydney_National or State Highway,NSW,Major Cities of Australia,Sydney - City and Inner South,Sydney,National or State Highway,20241211
20242007_VIC_Inner Regional Australia_Hume_Murrindindi_National or State Highway,VIC,Inner Regional Australia,Hume,Murrindindi,National or State Highway,20242007
20241204_NSW_Major Cities of Australia_Illawarra_Wollongong_National or State Highway,NSW,Major Cities of Australia,Illawarra,Wollongong,National or State Highway,20241204
20244062_SA_Major Cities of Australia_Adelaide - West_Port Adelaide Enfield_Local Road,SA,Major Cities of Australia,Adelaide - West,Port Adelaide Enfield,Local Road,20244062
20241137_NSW_Inner Regional Australia_Murray_Albury_National or State Highway,NSW,Inner Regional Australia,Murray,Albury,National or State Highway,20241137
20243117_QLD_Major Cities of Australia_Gold Coast_Gold Coast_Sub-arterial Road,QLD,Major Cities of Australia,Gold Coast,Gold Coast,Sub-arterial Road,20243117
20242081_VIC_Major Cities of Australia_Melbourne - Inner East_Boroondara_Arterial Road,VIC,Major Cities of Australia,Melbourne - Inner East,Boroondara,Arterial Road,20242081
20243206_QLD_Major Cities of Australia_Brisbane - East_Redland_Sub-arterial Road,QLD,Major Cities of Australia,Brisbane - East,Redland,Sub-arterial Road,20243206
20248003_ACT_Major Cities of Australia_Australian Capital Territory_Unincorporated ACT_Collector Road,ACT,Major Cities of Australia,Australian Capital Territory,Unincorporated ACT,Collector Road,20248003
20244032_SA_Inner Regional Australia_Adelaide - North_Playford_Collector Road,SA,Inner Regional Australia,Adelaide - North,Playford,Collector Road,20244032
20241153_NSW_Major Cities of Australia_Sydney - Outer West and Blue Mountains_Penrith_Collector Road,NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Collector Road,20241153
20242138_VIC_Inner Regional Australia_Latrobe - Gippsland_South Gippsland_National or State Highway,VIC,Inner Regional Australia,Latrobe - Gippsland,South Gippsland,National or State Highway,20242138
20243198_QLD_Outer Regional Australia_Townsville_Hinchinbrook_Local Road,QLD,Outer Regional Australia,Townsville,Hinchinbrook,Local Road,20243198
20242107_VIC_Major Cities of Australia_Melbourne - Inner East_Boroondara_Local Road,VIC,Major Cities of Australia,Melbourne - Inner East,Boroondara,Local Road,20242107
20243080_QLD_Inner Regional Australia_Wide Bay_Fraser Coast_Collector Road,QLD,Inner Regional Australia,Wide Bay,Fraser Coast,Collector Road,20243080
20242204_VIC_Inner Regional Australia_Melbourne - Outer East_Yarra Ranges_Sub-arterial Road,VIC,Inner Regional Australia,Melbourne - Outer East,Yarra Ranges,Sub-arterial Road,20242204
20242139_VIC_Inner Regional Australia_Warrnambool and South West_Colac Otway_Access road,VIC,Inner Regional Australia,Warrnambool and South West,Colac Otway,Access road,20242139
20241103_NSW_Outer Regional Australia_Capital Region_Bega Valley_Arterial Road,NSW,Outer Regional Australia,Capital Region,Bega Valley,Arterial Road,20241103
20242129_VIC_Inner Regional Australia_Geelong_Surf Coast_Local Road,VIC,Inner Regional Australia,Geelong,Surf Coast,Local Road,20242129
20244027_SA_Inner Regional Australia_Adelaide - Central and Hills_Mount Barker_Arterial Road,SA,Inner Regional Australia,Adelaide - Central and Hills,Mount Barker,Arterial Road,20244027
20243006_QLD_Major Cities of Australia_Brisbane - East_Brisbane_Sub-arterial Road,QLD,Major Cities of Australia,Brisbane - East,Brisbane,Sub-arterial Road,20243006
20243108_QLD_Inner Regional Australia_Wide Bay_Bundaberg_Sub-arterial Road,QLD,Inner Regional Australia,Wide Bay,Bundaberg,Sub-arterial Road,20243108
20243212_QLD_Major Cities of Australia_Gold Coast_Gold Coast_Collector Road,QLD,Major Cities of Australia,Gold Coast,Gold Coast,Collector Road,20243212
20241237_NSW_Major Cities of Australia_Hunter Valley exc Newcastle_Cessnock_Local Road,NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Cessnock,Local Road,20241237
20241052_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Maitland_National or State Highway,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Maitland,National or State Highway,20241052
20241308_NSW_Outer Regional Australia_Murray_Federation_Sub-arterial Road,NSW,Outer Regional Australia,Murray,Federation,Sub-arterial Road,20241308
20246027_TAS_Inner Regional Australia_Hobart_Hobart_Local Road,TAS,Inner Regional Australia,Hobart,Hobart,Local Road,20246027
20244072_SA_Major Cities of Australia_Adelaide - South_Mitcham_Collector Road,SA,Major Cities of Australia,Adelaide - South,Mitcham,Collector Road,20244072
20241195_NSW_Inner Regional Australia_Coffs Harbour - Grafton_Clarence Valley_Sub-arterial Road,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Sub-arterial Road,20241195
20244043_SA_Major Cities of Australia_Adelaide - Central and Hills_Adelaide_Sub-arterial Road,SA,Major Cities of Australia,Adelaide - Central and Hills,Adelaide,Sub-arterial Road,20244043
20241102_NSW_Major Cities of Australia_Sydney - Outer West and Blue Mountains_Penrith_Arterial Road,NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Arterial Road,20241102
20243194_QLD_Major Cities of Australia_Brisbane - South_Brisbane_National or State Highway,QLD,Major Cities of Australia,Brisbane - South,Brisbane,National or State Highway,20243194
20243070_QLD_Major Cities of Australia_Brisbane - South_Brisbane_National or State Highway,QLD,Major Cities of Australia,Brisbane - South,Brisbane,National or State Highway,20243070
20243165_QLD_Major Cities of Australia_Moreton Bay - North_Moreton Bay_Local Road,QLD,Major Cities of Australia,Moreton Bay - North,Moreton Bay,Local Road,20243165
20241063_NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Arterial Road,NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),Arterial Road,20241063
20241132_NSW_Major Cities of Australia_Illawarra_Wollongong_National or State Highway,NSW,Major Cities of Australia,Illawarra,Wollongong,National or State Highway,20241132
20241292_NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Arterial Road,NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),Arterial Road,20241292
20241189_NSW_Inner Regional Australia_Richmond - Tweed_Lismore_Local Road,NSW,Inner Regional Australia,Richmond - Tweed,Lismore,Local Road,20241189
20241233_NSW_Outer Regional Australia_Far West and Orana_Narromine_National or State Highway,NSW,Outer Regional Australia,Far West and Orana,Narromine,National or State Highway,20241233
20242115_VIC_Inner Regional Australia_Shepparton_Greater Shepparton_Sub-arterial Road,VIC,Inner Regional Australia,Shepparton,Greater Shepparton,Sub-arterial Road,20242115
20242167_VIC_Major Cities of Australia_Melbourne - North West_Merri-bek_Sub-arterial Road,VIC,Major Cities of Australia,Melbourne - North West,Merri-bek,Sub-arterial Road,20242167
20241016_NSW_Outer Regional Australia_Riverina_Narrandera_Local Road,NSW,Outer Regional Australia,Riverina,Narrandera,Local Road,20241016
20243234_QLD_Major Cities of Australia_Logan - Beaudesert_Logan_Local Road,QLD,Major Cities of Australia,Logan - Beaudesert,Logan,Local Road,20243234
20246025_TAS_Outer Regional Australia_South East_Huon Valley_Sub-arterial Road,TAS,Outer Regional Australia,South East,Huon Valley,Sub-arterial Road,20246025
20241220_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Cessnock_Sub-arterial Road,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Cessnock,Sub-arterial Road,20241220
20241034_NSW_Outer Regional Australia_Riverina_Griffith_Local Road,NSW,Outer Regional Australia,Riverina,Griffith,Local Road,20241034
20242012_VIC_Inner Regional Australia_Hume_Wodonga_Local Road,VIC,Inner Regional Australia,Hume,Wodonga,Local Road,20242012
20243009_QLD_Major Cities of Australia_Sunshine Coast_Sunshine Coast_Access road,QLD,Major Cities of Australia,Sunshine Coast,Sunshine Coast,Access road,20243009
20241269_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Mid-Coast_Arterial Road,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Mid-Coast,Arterial Road,20241269
20242093_VIC_Major Cities of Australia_Melbourne - Inner_Darebin_Local Road,VIC,Major Cities of Australia,Melbourne - Inner,Darebin,Local Road,20242093
20242176_VIC_Inner Regional Australia_Hume_Murrindindi_Sub-arterial Road,VIC,Inner Regional Australia,Hume,Murrindindi,Sub-arterial Road,20242176
20242255_VIC_Inner Regional Australia_Ballarat_Ballarat_Sub-arterial Road,VIC,Inner Regional Australia,Ballarat,Ballarat,Sub-arterial Road,20242255
20241066_NSW_Inner Regional Australia_Southern Highlands and Shoalhaven_Wingecarribee_Local Road,NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,Local Road,20241066
20242175_VIC_Inner Regional Australia_Melbourne - South East_Cardinia_Access road,VIC,Inner Regional Australia,Melbourne - South East,Cardinia,Access road,20242175
