locationId,state,nationalRemoteAreas,sa4Name,lgaName,nationalRoadType,crashId
20242088_VIC_Major Cities of Australia_Mornington Peninsula_Frankston_Sub-arterial Road,VIC,Major Cities of Australia,Mornington Peninsula,Frankston,Sub-arterial Road,20242088
20241173_NSW_Outer Regional Australia_New England and North West_Moree Plains_National or State Highway,NSW,Outer Regional Australia,New England and North West,Moree Plains,National or State Highway,20241173
20241004_NSW_Major Cities of Australia_Sydney - Parramatta_Parramatta_Local Road,NSW,Major Cities of Australia,Sydney - Parramatta,Parramatta,Local Road,20241004
20246004_TAS_Outer Regional Australia_Launceston and North East_Meander Valley_National or State Highway,TAS,Outer Regional Australia,Launceston and North East,Meander Valley,National or State Highway,20246004
20241201_NSW_Major Cities of Australia_Capital Region_Queanbeyan-Palerang_Local Road,NSW,Major Cities of Australia,Capital Region,Queanbeyan-Palerang,Local Road,20241201
20241029_NSW_Outer Regional Australia_Capital Region_Snowy Monaro_National or State Highway,NSW,Outer Regional Australia,Capital Region,Snowy Monaro,National or State Highway,20241029
20243005_QLD_Inner Regional Australia_Wide Bay_Bundaberg_National or State Highway,QLD,Inner Regional Australia,Wide Bay,Bundaberg,National or State Highway,20243005
20241261_NSW_Major Cities of Australia_Illawarra_Wollongong_National or State Highway,NSW,Major Cities of Australia,Illawarra,Wollongong,National or State Highway,20241261
20244024_SA_Inner Regional Australia_Barossa - Yorke - Mid North_Barossa_Local Road,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa,Local Road,20244024
20241215_NSW_Outer Regional Australia_Murray_Federation_National or State Highway,NSW,Outer Regional Australia,Murray,Federation,National or State Highway,20241215
20243186_QLD_Inner Regional Australia_Toowoomba_Toowoomba_Local Road,QLD,Inner Regional Australia,Toowoomba,Toowoomba,Local Road,20243186
20243208_QLD_Major Cities of Australia_Brisbane Inner City_Brisbane_Sub-arterial Road,QLD,Major Cities of Australia,Brisbane Inner City,Brisbane,Sub-arterial Road,20243208
20241134_NSW_Major Cities of Australia_Sydney - Blacktown_Blacktown_Arterial Road,NSW,Major Cities of Australia,Sydney - Blacktown,Blacktown,Arterial Road,20241134
20243040_QLD_Inner Regional Australia_Darling Downs - Maranoa_Southern Downs_National or State Highway,QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,National or State Highway,20243040
20241263_NSW_Inner Regional Australia_Central West_Cowra_Local Road,NSW,Inner Regional Australia,Central West,Cowra,Local Road,20241263
20241302_NSW_Inner Regional Australia_Capital Region_Goulburn Mulwaree_National or State Highway,NSW,Inner Regional Australia,Capital Region,Goulburn Mulwaree,National or State Highway,20241302
20241147_NSW_Major Cities of Australia_Sydney - Baulkham Hills and Hawkesbury_The Hills_Collector Road,NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,The Hills,Collector Road,20241147
20243248_QLD_Major Cities of Australia_Moreton Bay - South_Moreton Bay_Local Road,QLD,Major Cities of Australia,Moreton Bay - South,Moreton Bay,Local Road,20243248
20243096_QLD_Inner Regional Australia_Wide Bay_Gympie_Local Road,QLD,Inner Regional Australia,Wide Bay,Gympie,Local Road,20243096
20241150_NSW_Major Cities of Australia_Sydney - North Sydney and Hornsby_Willoughby_Arterial Road,NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Willoughby,Arterial Road,20241150
20241247_NSW_Inner Regional Australia_Capital Region_Shoalhaven_National or State Highway,NSW,Inner Regional Australia,Capital Region,Shoalhaven,National or State Highway,20241247
20241234_NSW_Inner Regional Australia_Capital Region_Queanbeyan-Palerang_Arterial Road,NSW,Inner Regional Australia,Capital Region,Queanbeyan-Palerang,Arterial Road,20241234
20242110_VIC_Inner Regional Australia_Bendigo_Greater Bendigo_National or State Highway,VIC,Inner Regional Australia,Bendigo,Greater Bendigo,National or State Highway,20242110
20242052_VIC_Inner Regional Australia_Melbourne - North East_Nillumbik_Arterial Road,VIC,Inner Regional Australia,Melbourne - North East,Nillumbik,Arterial Road,20242052
20243247_QLD_Outer Regional Australia_Darling Downs - Maranoa_Western Downs_Sub-arterial Road,QLD,Outer Regional Australia,Darling Downs - Maranoa,Western Downs,Sub-arterial Road,20243247
20243144_QLD_Inner Regional Australia_Central Queensland_Rockhampton_National or State Highway,QLD,Inner Regional Australia,Central Queensland,Rockhampton,National or State Highway,20243144
