crashId,locationId
20241175,20241175_NSW_Major Cities of Australia_Illawarra_Wollongong_Collector Road
20243072,20243072_QLD_Inner Regional Australia_Mackay - Isaac - Whitsunday_Mackay_Collector Road
20244057,20244057_SA_Major Cities of Australia_Adelaide - North_Playford_National or State Highway
20241091,20241091_NSW_Very Remote Australia_Far West and Orana_Cobar_National or State Highway
20243201,20243201_QLD_Outer Regional Australia_Wide Bay_South Burnett_Local Road
20242135,20242135_VIC_Outer Regional Australia_North West_Ararat_National or State Highway
20243225,20243225_QLD_Inner Regional Australia_Ipswich_Somerset_Sub-arterial Road
20241167,20241167_NSW_Major Cities of Australia_Sydney - Outer South West_Campbelltown (NSW)_Collector Road
20244060,20244060_SA_Inner Regional Australia_Adelaide - Central and Hills_Adelaide Hills_Sub-arterial Road
20241268,20241268_NSW_Outer Regional Australia_Capital Region_Bega Valley_National or State Highway
20244013,20244013_SA_Major Cities of Australia_Adelaide - North_Tea Tree Gully_Sub-arterial Road
20243235,20243235_QLD_Major Cities of Australia_Moreton Bay - North_Moreton Bay_Local Road
20244059,20244059_SA_Outer Regional Australia_South Australia - South East_Wattle Range_National or State Highway
20241266,20241266_NSW_Inner Regional Australia_Illawarra_Kiama_Arterial Road
20243131,20243131_QLD_Major Cities of Australia_Moreton Bay - North_Moreton Bay_Sub-arterial Road
20242080,20242080_VIC_Outer Regional Australia_Warrnambool and South West_Moyne_Local Road
20241287,20241287_NSW_Inner Regional Australia_Sydney - Outer South West_Wollondilly_Arterial Road
20241152,20241152_NSW_Inner Regional Australia_Mid North Coast_Mid-Coast_National or State Highway
20243161,20243161_QLD_Inner Regional Australia_Ipswich_Scenic Rim_Sub-arterial Road
20242042,20242042_VIC_Major Cities of Australia_Melbourne - South East_Casey_Arterial Road
20243210,20243210_QLD_Outer Regional Australia_Central Queensland_Gladstone_Collector Road
20244025,20244025_SA_Outer Regional Australia_Barossa - Yorke - Mid North_Northern Areas_Arterial Road
20243088,20243088_QLD_Outer Regional Australia_Cairns_Tablelands_Sub-arterial Road
20241211,20241211_NSW_Major Cities of Australia_Sydney - City and Inner South_Sydney_National or State Highway
20242007,20242007_VIC_Inner Regional Australia_Hume_Murrindindi_National or State Highway
20241204,20241204_NSW_Major Cities of Australia_Illawarra_Wollongong_National or State Highway
20244062,20244062_SA_Major Cities of Australia_Adelaide - West_Port Adelaide Enfield_Local Road
20241137,20241137_NSW_Inner Regional Australia_Murray_Albury_National or State Highway
20243117,20243117_QLD_Major Cities of Australia_Gold Coast_Gold Coast_Sub-arterial Road
20242081,20242081_VIC_Major Cities of Australia_Melbourne - Inner East_Boroondara_Arterial Road
20243206,20243206_QLD_Major Cities of Australia_Brisbane - East_Redland_Sub-arterial Road
20248003,20248003_ACT_Major Cities of Australia_Australian Capital Territory_Unincorporated ACT_Collector Road
20244032,20244032_SA_Inner Regional Australia_Adelaide - North_Playford_Collector Road
20241153,20241153_NSW_Major Cities of Australia_Sydney - Outer West and Blue Mountains_Penrith_Collector Road
20242138,20242138_VIC_Inner Regional Australia_Latrobe - Gippsland_South Gippsland_National or State Highway
20243198,20243198_QLD_Outer Regional Australia_Townsville_Hinchinbrook_Local Road
20242107,20242107_VIC_Major Cities of Australia_Melbourne - Inner East_Boroondara_Local Road
20243080,20243080_QLD_Inner Regional Australia_Wide Bay_Fraser Coast_Collector Road
20242204,20242204_VIC_Inner Regional Australia_Melbourne - Outer East_Yarra Ranges_Sub-arterial Road
20242139,20242139_VIC_Inner Regional Australia_Warrnambool and South West_Colac Otway_Access road
20241103,20241103_NSW_Outer Regional Australia_Capital Region_Bega Valley_Arterial Road
20242129,20242129_VIC_Inner Regional Australia_Geelong_Surf Coast_Local Road
20244027,20244027_SA_Inner Regional Australia_Adelaide - Central and Hills_Mount Barker_Arterial Road
20243006,20243006_QLD_Major Cities of Australia_Brisbane - East_Brisbane_Sub-arterial Road
20243108,20243108_QLD_Inner Regional Australia_Wide Bay_Bundaberg_Sub-arterial Road
20243212,20243212_QLD_Major Cities of Australia_Gold Coast_Gold Coast_Collector Road
20241237,20241237_NSW_Major Cities of Australia_Hunter Valley exc Newcastle_Cessnock_Local Road
20241052,20241052_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Maitland_National or State Highway
20241308,20241308_NSW_Outer Regional Australia_Murray_Federation_Sub-arterial Road
20246027,20246027_TAS_Inner Regional Australia_Hobart_Hobart_Local Road
20244072,20244072_SA_Major Cities of Australia_Adelaide - South_Mitcham_Collector Road
20241195,20241195_NSW_Inner Regional Australia_Coffs Harbour - Grafton_Clarence Valley_Sub-arterial Road
20244043,20244043_SA_Major Cities of Australia_Adelaide - Central and Hills_Adelaide_Sub-arterial Road
20241102,20241102_NSW_Major Cities of Australia_Sydney - Outer West and Blue Mountains_Penrith_Arterial Road
20243194,20243194_QLD_Major Cities of Australia_Brisbane - South_Brisbane_National or State Highway
20243070,20243070_QLD_Major Cities of Australia_Brisbane - South_Brisbane_National or State Highway
20243165,20243165_QLD_Major Cities of Australia_Moreton Bay - North_Moreton Bay_Local Road
20241063,20241063_NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Arterial Road
20241132,20241132_NSW_Major Cities of Australia_Illawarra_Wollongong_National or State Highway
20241292,20241292_NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Arterial Road
20241189,20241189_NSW_Inner Regional Australia_Richmond - Tweed_Lismore_Local Road
20241233,20241233_NSW_Outer Regional Australia_Far West and Orana_Narromine_National or State Highway
20242115,20242115_VIC_Inner Regional Australia_Shepparton_Greater Shepparton_Sub-arterial Road
20242167,20242167_VIC_Major Cities of Australia_Melbourne - North West_Merri-bek_Sub-arterial Road
20241016,20241016_NSW_Outer Regional Australia_Riverina_Narrandera_Local Road
20243234,20243234_QLD_Major Cities of Australia_Logan - Beaudesert_Logan_Local Road
20246025,20246025_TAS_Outer Regional Australia_South East_Huon Valley_Sub-arterial Road
20241220,20241220_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Cessnock_Sub-arterial Road
20241034,20241034_NSW_Outer Regional Australia_Riverina_Griffith_Local Road
20242012,20242012_VIC_Inner Regional Australia_Hume_Wodonga_Local Road
20243009,20243009_QLD_Major Cities of Australia_Sunshine Coast_Sunshine Coast_Access road
20241269,20241269_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Mid-Coast_Arterial Road
20242093,20242093_VIC_Major Cities of Australia_Melbourne - Inner_Darebin_Local Road
20242176,20242176_VIC_Inner Regional Australia_Hume_Murrindindi_Sub-arterial Road
20242255,20242255_VIC_Inner Regional Australia_Ballarat_Ballarat_Sub-arterial Road
20241066,20241066_NSW_Inner Regional Australia_Southern Highlands and Shoalhaven_Wingecarribee_Local Road
20242175,20242175_VIC_Inner Regional Australia_Melbourne - South East_Cardinia_Access road
20243207,20243207_QLD_Inner Regional Australia_Central Queensland_Rockhampton_Local Road
20242029,20242029_VIC_Major Cities of Australia_Melbourne - Outer East_Maroondah_Local Road
20241246,20241246_NSW_Inner Regional Australia_Murray_Albury_Arterial Road
20241078,20241078_NSW_Major Cities of Australia_Richmond - Tweed_Tweed_Local Road
20243064,20243064_QLD_Outer Regional Australia_Wide Bay_North Burnett_National or State Highway
20241013,20241013_NSW_Remote Australia_New England and North West_Moree Plains_Sub-arterial Road
20246019,20246019_TAS_Outer Regional Australia_South East_Huon Valley_National or State Highway
20242257,20242257_VIC_Major Cities of Australia_Mornington Peninsula_Mornington Peninsula_Collector Road
20241138,20241138_NSW_Major Cities of Australia_Sydney - South West_Fairfield_Local Road
20244014,20244014_SA_Major Cities of Australia_Adelaide - Central and Hills_Unley_Sub-arterial Road
20244069,20244069_SA_Inner Regional Australia_South Australia - South East_Alexandrina_Arterial Road
20242053,20242053_VIC_Inner Regional Australia_Melbourne - Outer East_Yarra Ranges_Arterial Road
20243111,20243111_QLD_Outer Regional Australia_Mackay - Isaac - Whitsunday_Whitsunday_National or State Highway
20243067,20243067_QLD_Outer Regional Australia_Wide Bay_Gympie_Local Road
20242186,20242186_VIC_Major Cities of Australia_Melbourne - West_Melton_National or State Highway
20242250,20242250_VIC_Major Cities of Australia_Mornington Peninsula_Frankston_Local Road
20243167,20243167_QLD_Outer Regional Australia_Townsville_Burdekin_National or State Highway
20243106,20243106_QLD_Major Cities of Australia_Brisbane - South_Brisbane_Sub-arterial Road
20242098,20242098_VIC_Major Cities of Australia_Melbourne - Outer East_Knox_Local Road
20241179,20241179_NSW_Inner Regional Australia_Mid North Coast_Mid-Coast_Sub-arterial Road
20242070,20242070_VIC_Inner Regional Australia_Melbourne - North East_Whittlesea_Arterial Road
20243261,20243261_QLD_Very Remote Australia_Queensland - Outback_Mareeba_Local Road
20243227,20243227_QLD_Outer Regional Australia_Darling Downs - Maranoa_Western Downs_Local Road
20242243,20242243_VIC_Inner Regional Australia_Melbourne - Outer East_Yarra Ranges_Local Road
20242102,20242102_VIC_Major Cities of Australia_Melbourne - South East_Monash_Arterial Road
20241109,20241109_NSW_Very Remote Australia_Far West and Orana_Unincorporated NSW_National or State Highway
20243187,20243187_QLD_Inner Regional Australia_Wide Bay_South Burnett_Local Road
20241301,20241301_NSW_Major Cities of Australia_Sydney - Blacktown_Blacktown_Local Road
20243135,20243135_QLD_Outer Regional Australia_Darling Downs - Maranoa_Western Downs_Local Road
