locationId,state,nationalRemoteAreas,sa4Name,lgaName,crashId
NSW_Major Cities of Australia_Sydney - Outer West and Blue Mountains_Penrith,NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,20241216
NSW_Outer Regional Australia_Hunter Valley exc Newcastle_Upper Hunter,NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter,20241300
QLD_Outer Regional Australia_Wide Bay_South Burnett,QLD,Outer Regional Australia,Wide Bay,South Burnett,20243007
NSW_Outer Regional Australia_Central West_Mid-Western,NSW,Outer Regional Australia,Central West,Mid-Western,20241278
NSW_Major Cities of Australia_Sydney - Inner South West_Canterbury-Bankstown,NSW,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,20241149
NSW_Outer Regional Australia_Murray_Greater Hume,NSW,Outer Regional Australia,Murray,Greater Hume,20241068
QLD_Outer Regional Australia_Darling Downs - Maranoa_Southern Downs,QLD,Outer Regional Australia,Darling Downs - Maranoa,Southern Downs,20243273
SA_Inner Regional Australia_Barossa - Yorke - Mid North_Barossa,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa,20244020
NSW_Inner Regional Australia_Mid North Coast_Port Macquarie-Hastings,NSW,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,20241094
QLD_Outer Regional Australia_Mackay - Isaac - Whitsunday_Mackay,QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Mackay,20243160
QLD_Outer Regional Australia_Cairns_Douglas,QLD,Outer Regional Australia,Cairns,Douglas,20243209
SA_Inner Regional Australia_South Australia - South East_Yankalilla,SA,Inner Regional Australia,South Australia - South East,Yankalilla,20244001
QLD_Major Cities of Australia_Logan - Beaudesert_Logan,QLD,Major Cities of Australia,Logan - Beaudesert,Logan,20243243
TAS_Outer Regional Australia_Launceston and North East_Dorset,TAS,Outer Regional Australia,Launceston and North East,Dorset,20246016
NSW_Inner Regional Australia_New England and North West_Armidale,NSW,Inner Regional Australia,New England and North West,Armidale,20241119
NSW_Inner Regional Australia_Mid North Coast_Nambucca Valley,NSW,Inner Regional Australia,Mid North Coast,Nambucca Valley,20241169
NSW_Outer Regional Australia_Far West and Orana_Narromine,NSW,Outer Regional Australia,Far West and Orana,Narromine,20241291
QLD_Inner Regional Australia_Wide Bay_Fraser Coast,QLD,Inner Regional Australia,Wide Bay,Fraser Coast,20243036
SA_Very Remote Australia_South Australia - Outback_Unincorporated SA,SA,Very Remote Australia,South Australia - Outback,Unincorporated SA,20244026
NSW_Major Cities of Australia_Illawarra_Shellharbour,NSW,Major Cities of Australia,Illawarra,Shellharbour,20241077
NSW_Outer Regional Australia_New England and North West_Narrabri,NSW,Outer Regional Australia,New England and North West,Narrabri,20241022
QLD_Inner Regional Australia_Logan - Beaudesert_Logan,QLD,Inner Regional Australia,Logan - Beaudesert,Logan,20243015
QLD_Remote Australia_Queensland - Outback_Cook,QLD,Remote Australia,Queensland - Outback,Cook,20243114
NSW_Outer Regional Australia_New England and North West_Tenterfield,NSW,Outer Regional Australia,New England and North West,Tenterfield,20241040
NSW_Major Cities of Australia_Central Coast_Central Coast (NSW),NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),20241174
NSW_Outer Regional Australia_New England and North West_Tamworth,NSW,Outer Regional Australia,New England and North West,Tamworth,20241088
NSW_Inner Regional Australia_Capital Region_Hilltops,NSW,Inner Regional Australia,Capital Region,Hilltops,20241255
NSW_Outer Regional Australia_Central West_Forbes,NSW,Outer Regional Australia,Central West,Forbes,20241053
QLD_Inner Regional Australia_Toowoomba_Toowoomba,QLD,Inner Regional Australia,Toowoomba,Toowoomba,20243046
