crashId,locationId
20241091,NSW_Very Remote Australia_Far West and Orana_Cobar_National or State Highway
20243201,QLD_Outer Regional Australia_Wide Bay_South Burnett_Local Road
20242135,VIC_Outer Regional Australia_North West_Ararat_National or State Highway
20243225,QLD_Inner Regional Australia_Ipswich_Somerset_Sub-arterial Road
20241167,NSW_Major Cities of Australia_Sydney - Outer South West_Campbelltown (NSW)_Collector Road
20244060,SA_Inner Regional Australia_Adelaide - Central and Hills_Adelaide Hills_Sub-arterial Road
20241268,NSW_Outer Regional Australia_Capital Region_Bega Valley_National or State Highway
20244013,SA_Major Cities of Australia_Adelaide - North_Tea Tree Gully_Sub-arterial Road
20243235,QLD_Major Cities of Australia_Moreton Bay - North_Moreton Bay_Local Road
20244059,SA_Outer Regional Australia_South Australia - South East_Wattle Range_National or State Highway
20241266,NSW_Inner Regional Australia_Illawarra_Kiama_Arterial Road
20243131,QLD_Major Cities of Australia_Moreton Bay - North_Moreton Bay_Sub-arterial Road
20242080,VIC_Outer Regional Australia_Warrnambool and South West_Moyne_Local Road
20241287,NSW_Inner Regional Australia_Sydney - Outer South West_Wollondilly_Arterial Road
20241152,NSW_Inner Regional Australia_Mid North Coast_Mid-Coast_National or State Highway
20243161,QLD_Inner Regional Australia_Ipswich_Scenic Rim_Sub-arterial Road
20242042,VIC_Major Cities of Australia_Melbourne - South East_Casey_Arterial Road
20243210,QLD_Outer Regional Australia_Central Queensland_Gladstone_Collector Road
20244025,SA_Outer Regional Australia_Barossa - Yorke - Mid North_Northern Areas_Arterial Road
20243088,QLD_Outer Regional Australia_Cairns_Tablelands_Sub-arterial Road
20241211,NSW_Major Cities of Australia_Sydney - City and Inner South_Sydney_National or State Highway
20242007,VIC_Inner Regional Australia_Hume_Murrindindi_National or State Highway
20241204,NSW_Major Cities of Australia_Illawarra_Wollongong_National or State Highway
20244062,SA_Major Cities of Australia_Adelaide - West_Port Adelaide Enfield_Local Road
20241137,NSW_Inner Regional Australia_Murray_Albury_National or State Highway
20243117,QLD_Major Cities of Australia_Gold Coast_Gold Coast_Sub-arterial Road
20242081,VIC_Major Cities of Australia_Melbourne - Inner East_Boroondara_Arterial Road
20243206,QLD_Major Cities of Australia_Brisbane - East_Redland_Sub-arterial Road
20248003,ACT_Major Cities of Australia_Australian Capital Territory_Unincorporated ACT_Collector Road
20244032,SA_Inner Regional Australia_Adelaide - North_Playford_Collector Road
20241153,NSW_Major Cities of Australia_Sydney - Outer West and Blue Mountains_Penrith_Collector Road
20242138,VIC_Inner Regional Australia_Latrobe - Gippsland_South Gippsland_National or State Highway
20243198,QLD_Outer Regional Australia_Townsville_Hinchinbrook_Local Road
20242107,VIC_Major Cities of Australia_Melbourne - Inner East_Boroondara_Local Road
20243080,QLD_Inner Regional Australia_Wide Bay_Fraser Coast_Collector Road
20242204,VIC_Inner Regional Australia_Melbourne - Outer East_Yarra Ranges_Sub-arterial Road
20242139,VIC_Inner Regional Australia_Warrnambool and South West_Colac Otway_Access road
20241103,NSW_Outer Regional Australia_Capital Region_Bega Valley_Arterial Road
20242129,VIC_Inner Regional Australia_Geelong_Surf Coast_Local Road
20244027,SA_Inner Regional Australia_Adelaide - Central and Hills_Mount Barker_Arterial Road
20243006,QLD_Major Cities of Australia_Brisbane - East_Brisbane_Sub-arterial Road
20243108,QLD_Inner Regional Australia_Wide Bay_Bundaberg_Sub-arterial Road
20243212,QLD_Major Cities of Australia_Gold Coast_Gold Coast_Collector Road
20241237,NSW_Major Cities of Australia_Hunter Valley exc Newcastle_Cessnock_Local Road
20241052,NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Maitland_National or State Highway
20241308,NSW_Outer Regional Australia_Murray_Federation_Sub-arterial Road
20246027,TAS_Inner Regional Australia_Hobart_Hobart_Local Road
20244072,SA_Major Cities of Australia_Adelaide - South_Mitcham_Collector Road
20241195,NSW_Inner Regional Australia_Coffs Harbour - Grafton_Clarence Valley_Sub-arterial Road
20244043,SA_Major Cities of Australia_Adelaide - Central and Hills_Adelaide_Sub-arterial Road
20241102,NSW_Major Cities of Australia_Sydney - Outer West and Blue Mountains_Penrith_Arterial Road
20243194,QLD_Major Cities of Australia_Brisbane - South_Brisbane_National or State Highway
20243070,QLD_Major Cities of Australia_Brisbane - South_Brisbane_National or State Highway
20243165,QLD_Major Cities of Australia_Moreton Bay - North_Moreton Bay_Local Road
20241063,NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Arterial Road
20241132,NSW_Major Cities of Australia_Illawarra_Wollongong_National or State Highway
20241292,NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Arterial Road
20241189,NSW_Inner Regional Australia_Richmond - Tweed_Lismore_Local Road
20241233,NSW_Outer Regional Australia_Far West and Orana_Narromine_National or State Highway
20242115,VIC_Inner Regional Australia_Shepparton_Greater Shepparton_Sub-arterial Road
20242167,VIC_Major Cities of Australia_Melbourne - North West_Merri-bek_Sub-arterial Road
20241016,NSW_Outer Regional Australia_Riverina_Narrandera_Local Road
20243234,QLD_Major Cities of Australia_Logan - Beaudesert_Logan_Local Road
20246025,TAS_Outer Regional Australia_South East_Huon Valley_Sub-arterial Road
20241220,NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Cessnock_Sub-arterial Road
20241034,NSW_Outer Regional Australia_Riverina_Griffith_Local Road
20242012,VIC_Inner Regional Australia_Hume_Wodonga_Local Road
20243009,QLD_Major Cities of Australia_Sunshine Coast_Sunshine Coast_Access road
