crashId,crashType,numberFatalities,busInvolvement,heavyRigidTruckInvolvement,articulatedTruckInvolvement,speedLimit,nationalRoadType
20241116,Single,1,No,No,No,70,Arterial Road
20243226,Single,1,No,No,No,100,National or State Highway
20242092,Single,1,No,No,No,80,National or State Highway
20242125,Single,1,No,No,No,60,Arterial Road
20244077,Single,1,No,No,No,50,Arterial Road
20242049,Single,1,No,No,No,40,Local Road
20243265,Single,1,No,No,No,50,Local Road
20243122,Single,1,No,No,No,60,Collector Road
20243151,Single,1,No,No,No,10,Local Road
20241283,Single,1,No,No,No,100,Sub-arterial Road
20242262,Single,1,No,No,No,60,Arterial Road
20242100,Single,1,No,No,No,100,National or State Highway
20242211,Single,1,No,No,No,60,Local Road
20241168,Multiple,2,No,No,No,70,Arterial Road
20241162,Multiple,2,No,No,No,100,Arterial Road
20241073,Single,1,No,No,No,100,National or State Highway
20243097,Multiple,3,No,No,Yes,80,National or State Highway
20242182,Single,1,No,No,Yes,100,National or State Highway
20243123,Single,1,No,No,No,60,Local Road
20242044,Single,1,No,No,No,100,Sub-arterial Road
20241120,Single,1,No,No,Yes,110,National or State Highway
20242266,Single,1,No,No,No,80,Collector Road
20241048,Single,1,No,No,No,70,Arterial Road
20243023,Single,1,No,No,No,70,Sub-arterial Road
20243137,Single,1,No,Yes,No,100,National or State Highway
